freq_ghz,theta_deg,rcs_db
11.88888888888889,-19.0,3.994057807630639
11.88888888888889,-18.0,6.545543040391081
11.88888888888889,-17.0,13.283499572250765
11.88888888888889,-16.0,6.4464066472051975
11.88888888888889,-15.0,5.125003948978984
11.88888888888889,-14.0,13.397355569311047
11.88888888888889,-13.0,9.24927287335996
11.88888888888889,-12.0,4.380271226858293
11.88888888888889,-11.0,12.418669234401003
11.88888888888889,-10.0,11.896694477914652
11.88888888888889,-9.0,4.572085793609181
11.88888888888889,-8.0,10.652384794448885
11.88888888888889,-7.0,13.896208087460483
11.88888888888889,-6.0,5.736296671721047
11.88888888888889,-5.0,8.554111533660794
11.88888888888889,-4.0,14.87527897545486
11.88888888888889,-3.0,7.675194932074434
11.88888888888889,-2.0,6.630027240325244
11.88888888888889,-1.0,14.6618199916247
11.88888888888889,0.0,10.0
11.88888888888889,1.0,5.325996548757214
11.88888888888889,2.0,13.321253764871248
11.88888888888889,3.0,12.215242975291027
11.88888888888889,4.0,4.930082399376547
11.88888888888889,5.0,11.142043526583372
11.88888888888889,6.0,13.82665534295506
11.88888888888889,7.0,5.5097064380594425
11.88888888888889,8.0,8.5728491243175
11.88888888888889,9.0,14.449044532293891
11.88888888888889,10.0,6.897157937803511
11.88888888888889,11.0,6.125007856934749
11.88888888888889,12.0,13.890637925993735
11.88888888888889,13.0,8.72660805262338
11.88888888888889,14.0,4.261596287867489
11.88888888888889,15.0,12.195504126709794
11.88888888888889,16.0,10.514555275923325
11.88888888888889,17.0,3.2972518788500667
11.88888888888889,18.0,9.634796847107864
11.88888888888889,19.0,11.766157264503804
11.88888888888889,20.0,3.3305850116268223
11.88888888888889,21.0,6.6487209459434515
11.88888888888889,22.0,12.084258363293323
11.88888888888889,23.0,4.223904686026618
11.88888888888889,24.0,3.751860292692044
11.88888888888889,25.0,11.257332051609332
11.88888888888889,26.0,5.634664324742608
11.88888888888889,27.0,1.4224919624589862
11.88888888888889,28.0,9.307151801868876
11.88888888888889,29.0,7.0917567953507605
11.88888888888889,30.0,6.443653077781164e-08
11.88888888888889,31.0,6.485780963584584
11.88888888888889,32.0,8.100008476235942
11.88888888888889,33.0,-0.3872652489014241
11.88888888888889,34.0,3.222518856704273
11.88888888888889,35.0,8.25007286685452
11.88888888888889,36.0,0.15202303733522093
11.88888888888889,37.0,0.032348130928640195
11.88888888888889,38.0,7.309745457402096
11.88888888888889,39.0,1.2979752930622974
11.88888888888889,40.0,-2.594180292158504
11.88888888888889,41.0,5.276770323844336
11.88888888888889,42.0,2.591438375328649
11.88888888888889,43.0,-4.295643020343818
11.88888888888889,44.0,2.38160258333865
11.88888888888889,45.0,3.5363852204370008
11.88888888888889,46.0,-4.9162214879065935
11.88888888888889,47.0,-0.9605003872909943
11.88888888888889,48.0,3.7103946803224295
11.88888888888889,49.0,-4.537313928692467
11.88888888888889,50.0,-4.237640318983993
11.88888888888889,51.0,2.8591111356692913
11.88888888888889,52.0,-3.4574163873094585
11.88888888888889,53.0,-6.950498606429108
11.88888888888889,54.0,0.9540655667876372
11.88888888888889,55.0,-2.124684749350317
11.88888888888889,56.0,-8.718831814983881
11.88888888888889,57.0,-1.798772978503477
11.88888888888889,58.0,-1.0369052867145436
11.88888888888889,59.0,-9.362051775821701
11.88888888888889,60.0,-5.001605447321023
11.88888888888889,61.0,-0.6307058286818732
11.88888888888889,62.0,-8.936349033149789
