freq_ghz,theta_deg,rcs_db
6.444444444444445,-62.0,-10.204382066660797
6.444444444444445,-61.0,-1.603231308901829
6.444444444444445,-60.0,-5.03235587031606
6.444444444444445,-59.0,-8.031936793066977
6.444444444444445,-58.0,0.6794377510343165
6.444444444444445,-57.0,-7.731086528585126
6.444444444444445,-56.0,-3.533981581167099
6.444444444444445,-55.0,-0.05779518226238639
6.444444444444445,-54.0,-8.112126888324633
6.444444444444445,-53.0,0.8205903997818547
6.444444444444445,-52.0,-2.5374934539981715
6.444444444444445,-51.0,-5.294394232047729
6.444444444444445,-50.0,3.0753128544070036
6.444444444444445,-49.0,-4.9418987163782
6.444444444444445,-48.0,-1.0898203056478004
6.444444444444445,-47.0,2.70902661509715
6.444444444444445,-46.0,-5.238848199494138
6.444444444444445,-45.0,3.6185014399048727
6.444444444444445,-44.0,0.1342110148436466
6.444444444444445,-43.0,-2.8347784550135167
6.444444444444445,-42.0,6.112200916102342
6.444444444444445,-41.0,-2.2866451282900786
6.444444444444445,-40.0,1.855410265114384
6.444444444444445,-39.0,5.55150209333037
6.444444444444445,-38.0,-2.6450868774104954
6.444444444444445,-37.0,6.569359828583614
6.444444444444445,-36.0,3.066006429711925
6.444444444444445,-35.0,-0.2571428768675382
6.444444444444445,-34.0,8.76402752742802
6.444444444444445,-33.0,0.40935716045279036
6.444444444444445,-32.0,4.546782672933854
6.444444444444445,-31.0,8.097282499922573
6.444444444444445,-30.0,-0.0109412414701225
6.444444444444445,-29.0,8.934747157589234
6.444444444444445,-28.0,5.610404521926396
6.444444444444445,-27.0,2.2690282241715956
6.444444444444445,-26.0,11.122764734340178
6.444444444444445,-25.0,2.802114188026075
6.444444444444445,-24.0,6.6843450753344005
6.444444444444445,-23.0,10.618886290088106
6.444444444444445,-22.0,2.2341824911595727
6.444444444444445,-21.0,10.876825279962203
6.444444444444445,-20.0,7.703587009085405
6.444444444444445,-19.0,4.5896167259544915
6.444444444444445,-18.0,13.193224802664052
6.444444444444445,-17.0,4.573788787147742
6.444444444444445,-16.0,8.470972668727407
6.444444444444445,-15.0,12.29658758953229
6.444444444444445,-14.0,3.7588249291087625
6.444444444444445,-13.0,12.590143372889724
6.444444444444445,-12.0,9.183731517013477
6.444444444444445,-11.0,5.662580342434251
6.444444444444445,-10.0,14.390914515466747
6.444444444444445,-9.0,5.6354599066396025
6.444444444444445,-8.0,9.529635899809827
6.444444444444445,-7.0,13.20117500914463
6.444444444444445,-6.0,4.656718985611461
6.444444444444445,-5.0,13.555441293893054
6.444444444444445,-4.0,9.749937678922658
6.444444444444445,-3.0,6.3708438780585706
6.444444444444445,-2.0,14.98871219405093
6.444444444444445,-1.0,6.60078227283911
6.444444444444445,0.0,9.856413784882056
6.444444444444445,1.0,13.64747797166491
6.444444444444445,2.0,4.97666617497613
6.444444444444445,3.0,13.377438715532396
6.444444444444445,4.0,9.958619905539011
6.444444444444445,5.0,6.323860866301623
6.444444444444445,6.0,14.721433023152281
6.444444444444445,7.0,6.186462909734981
6.444444444444445,8.0,9.554627895136951
6.444444444444445,9.0,13.072895419781688
6.444444444444445,10.0,4.463198432097341
6.444444444444445,11.0,12.947005383358228
6.444444444444445,12.0,9.0408594912988
6.444444444444445,13.0,5.643422833373865
6.444444444444445,14.0,13.634151201555646
6.444444444444445,15.0,5.135433091571592
6.444444444444445,16.0,8.500397567762947
6.444444444444445,17.0,11.88312485413119
6.444444444444445,18.0,3.028091658907949
6.444444444444445,19.0,11.362001740845487
6.444444444444445,20.0,7.65978795453375
6.444444444444445,21.0,3.80104635845776
6.444444444444445,22.0,12.27807189641165
6.444444444444445,23.0,3.4865280917164596
6.444444444444445,24.0,6.563643169059324
6.444444444444445,25.0,10.096103462131941
6.444444444444445,26.0,1.1877446006765557
6.444444444444445,27.0,9.44793339285619
6.444444444444445,28.0,5.7229919510979155
6.444444444444445,29.0,1.6312373538806981
6.444444444444445,30.0,9.943449493303739
6.444444444444445,31.0,1.287626042464305
6.444444444444445,32.0,4.366920622870662
6.444444444444445,33.0,7.657106895189962
6.444444444444445,34.0,-1.2415174893019565
6.444444444444445,35.0,7.022797974293992
6.444444444444445,36.0,3.118568221135242
6.444444444444445,37.0,-0.7875085651940968
6.444444444444445,38.0,7.3981454893998775
6.444444444444445,39.0,-1.4104792133075221
6.444444444444445,40.0,1.7490768323811379
6.444444444444445,41.0,5.079612119218477
6.444444444444445,42.0,-3.872320912255739
6.444444444444445,43.0,4.288925439685455
6.444444444444445,44.0,0.4581048255767198
6.444444444444445,45.0,-3.5438781408658264
6.444444444444445,46.0,4.618726649481507
6.444444444444445,47.0,-4.118932641309758
6.444444444444445,48.0,-1.1750348522610012
6.444444444444445,49.0,2.2367623127136147
6.444444444444445,50.0,-6.675487224461093
6.444444444444445,51.0,1.2858042040365487
6.444444444444445,52.0,-2.083518316488005
6.444444444444445,53.0,-6.482475609054715
6.444444444444445,54.0,1.786686278872909
6.444444444444445,55.0,-6.744079118354741
6.444444444444445,56.0,-3.8030870957055214
6.444444444444445,57.0,-0.3727612756896959
6.444444444444445,58.0,-9.318887010758857
6.444444444444445,59.0,-1.2633189635862094
6.444444444444445,60.0,-4.94381300281446
6.444444444444445,61.0,-8.930484468873576
6.444444444444445,62.0,-0.6619190248398751
6.444444444444445,63.0,-9.205881464205861
6.444444444444445,64.0,-6.326957376701804
6.444444444444445,65.0,-2.8648882021042703
6.444444444444445,66.0,-11.720867994402827
6.444444444444445,67.0,-3.486843040710815
6.444444444444445,68.0,-7.08440971165858
6.444444444444445,69.0,-11.165859438697165
6.444444444444445,70.0,-2.6389741182091178
6.444444444444445,71.0,-11.266952058855486
6.444444444444445,72.0,-8.315948243945883
6.444444444444445,73.0,-4.678652709155885
6.444444444444445,74.0,-13.45403688561306
6.444444444444445,75.0,-5.400840546123489
6.444444444444445,76.0,-8.785415750591872
6.444444444444445,77.0,-12.725235582196127
6.444444444444445,78.0,-4.160397965799166
6.444444444444445,79.0,-12.637837572427719
6.444444444444445,80.0,-9.443919014689966
6.444444444444445,81.0,-5.752738530974276
6.444444444444445,82.0,-14.624633629612822
6.444444444444445,83.0,-6.314914104301259
6.444444444444445,84.0,-9.677479378677887
6.444444444444445,85.0,-13.528585583385398
6.444444444444445,86.0,-4.935921157784307
6.444444444444445,87.0,-13.295734038358608
6.444444444444445,88.0,-10.272333525378539
6.444444444444445,89.0,-6.25673473663936
6.444444444444445,90.0,-14.841935164872778
11.88888888888889,-90.0,-15.01087543491693
11.88888888888889,-89.0,-8.15967431247989
11.88888888888889,-88.0,-6.1924779604831794
11.88888888888889,-87.0,-14.44142998280257
11.88888888888889,-86.0,-10.400625164995486
11.88888888888889,-85.0,-5.017778312063302
11.88888888888889,-84.0,-12.712452729809815
11.88888888888889,-83.0,-12.50159057032678
11.88888888888889,-82.0,-4.718972227789198
11.88888888888889,-81.0,-10.245078255674708
11.88888888888889,-80.0,-13.58086817097591
11.88888888888889,-79.0,-5.28885172107565
